FID,content_id,category,_Comune,_Stato,_Nome,_Localita,_Regione,anchorforweb,validato
nuraghi.fid--27c679e9_165f0b4ed6e_3f97,NUR6440,10,Semestene,,Nuraghe Loschiri or S?Iscala ?e Pedra,,Meilogu,POINT (8.742897600000008 40.392974),false
nuraghi.fid--27c679e9_165f0b4ed6e_3f98,NUR4366,10,Villaputzu,,Nuraghe Serbiola,,Sarrabus,POINT (9.627555100000011 39.52968299999999),false
nuraghi.fid--27c679e9_165f0b4ed6e_3f99,NUR12182,12,Ottana,buono,Nuraghe,,Barbagia,POINT (9.077007575399861 40.24720027273638),true
nuraghi.fid--27c679e9_165f0b4ed6e_3f9a,NUR11487,10,Guspini,,Nuraghe Nuraci,,Linas,POINT (8.638594999999988 39.55485),true
nuraghi.fid--27c679e9_165f0b4ed6e_3f9b,NUR2303,10,Villaputzu,,Nuraghe Sant''Aleni,,Sarrabus,POINT (9.56425900000001 39.449507999999994),false
nuraghi.fid--27c679e9_165f0b4ed6e_3f9c,NUR1723,10,Teulada,,,,Capoterra,POINT (8.65799600000001 38.976245),false
nuraghi.fid--27c679e9_165f0b4ed6e_3f9d,NUR12245,12,Oniferi,,Nuraghe Munsipuzzone,,Barbagia,POINT (9.17714430463132 40.27535992189184),true
nuraghi.fid--27c679e9_165f0b4ed6e_3f9e,NUR1086,10,Stintino,,Nuraghe Casteddu,,Nurra,POINT (8.240377000000011 40.831358),true
nuraghi.fid--27c679e9_165f0b4ed6e_3f9f,NUR11525,12,Arzachena,,Nuraghe Lu nuracu,,Gallura,POINT (9.333342999999992 41.084099999999985),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa0,NUR11530,10,Arzachena,,Nuraghe Monti Aguisi,,Gallura,POINT (9.423192 41.058502999999995),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa1,NUR11532,12,Arzachena,,Nuraghe Monti Canaglia,,Gallura,POINT (9.48559099999999 41.069579),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa2,NUR2274,10,Lei,,Nuraghe Santu Martine,,Marghine,POINT (8.924254000000007 40.31866499999999),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa3,NUR11592,10,Borore,non visibile,Nuraghe Ludrau,Mura ‘e Pinnas,Marghine,POINT (8.808528999999997 40.21604),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa4,NUR2164,12,Santu Lussurgiu,diroccato,Nuraghe Sa rocca ’e Zurzia,Pabarile,Montiferru,POINT (8.606406000000012 40.14669500000001),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa5,NUR6445,10,Milis,,Nuraghe Su Livariu,,Sinis,POINT (8.654026699999998 40.061929),false
nuraghi.fid--27c679e9_165f0b4ed6e_3fa6,NUR11531,13,Arzachena,,Nuraghe Cascioni,,Gallura,POINT (9.441455000000001 41.06943),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa7,NUR4981,10,San Vito,,Nuraghe De Muru,,Sarrabus,POINT (9.508630700000008 39.377517),false
nuraghi.fid--27c679e9_165f0b4ed6e_3fa8,NUR11538,10,Palau,,Nuraghe Luchia,,Gallura,POINT (9.334810999999995 41.13985900000001),true
nuraghi.fid--27c679e9_165f0b4ed6e_3fa9,NUR1240,10,Arzachena,,Nuraghe Li Conchi,,Gallura,POINT (9.405562000000009 41.078691),true
